Date,Open,High,Low,Close,Adj Close,Volume
2015-04-16,30.644600,30.710699,30.388399,36.980022,28.178043,12285372
2015-04-17,30.264500,30.413200,30.148800,36.509933,27.819845,13341702
2015-04-20,30.314100,30.388399,29.553699,35.899975,27.355064,20951271
2015-04-22,29.752100,30.702499,29.669399,36.900040,28.117096,16110545
2015-04-23,30.190100,31.363600,29.975201,37.899982,28.879036,16211338
2015-04-24,31.330601,32.595001,31.289301,39.129948,29.816246,28325495
2015-04-27,32.214901,32.644600,31.594999,38.399956,29.260000,13591446
2015-04-28,31.917400,32.157001,31.413200,38.789940,29.557159,15320536
2015-04-29,31.760300,32.033100,31.429800,38.259960,29.153330,11539407
2015-04-30,31.487600,31.975201,31.322300,38.530033,29.359118,12500026
2015-05-04,31.843000,32.570301,31.843000,38.950024,29.693134,12805430
2015-05-05,31.983500,32.429699,31.487600,38.569958,29.403391,17640106
2015-05-06,31.917400,32.157001,30.743799,37.600025,28.663977,21463827
2015-05-07,30.834700,31.198400,30.661200,37.750065,28.778355,14802535
2015-05-08,31.644600,31.652901,30.826500,38.250038,29.159510,17092581
2015-05-11,31.710699,31.818199,31.223101,38.069992,29.022243,8855990
2015-05-12,31.157000,31.603300,31.090900,37.899982,28.892647,14634708
2015-05-13,31.181801,31.487600,31.000000,37.639957,28.694420,13387682
2015-05-14,31.132200,31.528900,30.950399,38.009972,28.976494,14407833
2015-05-15,31.322300,32.016499,31.322300,38.720001,29.517782,9615144
2015-05-18,32.049599,32.049599,30.933901,37.690048,28.732607,28350300
2015-05-19,31.074400,31.438000,30.231400,37.159946,28.328493,13863333
2015-05-20,30.396700,30.520700,29.950399,36.500015,27.825399,23410596
2015-05-21,29.851200,29.900801,29.421499,36.059937,27.489908,21935727
2015-05-22,29.586800,29.586800,29.140499,35.299938,26.910526,28090876
2015-05-25,29.256201,29.479300,28.958700,35.430016,27.009691,9344709
2015-05-26,29.107401,29.173500,28.719000,34.909954,26.613228,14944347
2015-05-27,29.074400,29.520700,28.619801,35.619984,27.154512,17498415
2015-05-28,29.190100,29.297501,28.743799,35.199989,26.834333,10890000
2015-05-29,29.008301,29.008301,28.347099,34.330002,26.171106,24109976
2015-06-01,28.462799,28.611601,28.132200,34.080013,25.994278,14980405
2015-06-02,28.405001,28.884300,28.214899,34.840015,26.573961,16863165
2015-06-03,28.735500,28.735500,28.024799,33.959980,25.902725,16815128
2015-06-05,28.066099,28.074400,27.380199,33.150009,25.284920,14032491
2015-06-08,27.652901,27.661200,27.272699,33.010010,25.178133,15628360
2015-06-09,27.355400,27.586800,27.082600,32.799957,25.017920,14878402
2015-06-10,27.512400,28.124001,27.487600,33.759972,25.750166,29137405
2015-06-11,28.214899,28.297501,27.520700,33.550034,25.590040,18401801
2015-06-12,27.479300,27.752100,27.289301,33.199982,25.323034,16308501
2015-06-15,27.272699,27.578501,26.776899,33.369987,25.452705,17136625
2015-06-16,27.884300,28.562000,27.743799,34.549980,26.352732,23883948
2015-06-17,28.371901,28.586800,27.933901,33.940018,25.887495,18905403
2015-06-18,28.231400,28.909100,27.900801,34.779999,26.528185,10078574
2015-06-19,28.115700,28.611601,28.074400,34.390015,26.230726,18012665
2015-06-22,28.553699,28.785101,28.289301,34.489964,26.306959,14146110
2015-06-23,28.735500,29.082600,28.545500,34.829975,26.566299,12566939
2015-06-24,28.843000,29.165300,28.685900,34.950005,26.657860,13726240
2015-06-25,28.851200,28.892599,28.090900,34.349964,26.200178,13843489
2015-06-26,28.289301,28.909100,28.289301,34.650043,26.429060,11425788
2015-06-29,28.157000,28.562000,28.016500,34.209969,26.093399,8335206
2015-06-30,28.462799,28.578501,28.157000,34.220013,26.101059,12163888
2015-07-01,28.471100,28.487600,28.124001,34.400059,26.252312,12531123
2015-07-02,28.710699,28.983500,28.520700,34.859982,26.603298,11803187
2015-07-03,28.636400,28.801600,28.429800,34.510048,26.336250,5177711
2015-07-06,28.173500,28.586800,27.859501,33.920052,25.885996,11128128
2015-07-07,27.859501,28.198400,27.504101,34.050007,25.985170,12048212
2015-07-08,27.917400,28.181801,27.685900,33.660023,25.687553,10010935
2015-07-10,27.818199,28.760300,27.818199,34.680054,26.465990,15062685
2015-07-13,28.834700,29.190100,28.710699,34.999977,26.710140,8466733
2015-07-14,28.854500,29.072701,28.581800,31.839941,26.728420,8268260
2015-07-15,28.836399,28.981800,28.354500,31.289942,26.266716,11636240
2015-07-16,28.772699,28.863600,28.272699,31.380030,26.342342,9671970
